id, name, lat, lng
1164, "Balboa and Great Hwy (Ocean Beach)", 37.775081, -122.511289
1165, "Great Hwy and JFK (Ocean Beach)", 37.770474, -122.510950
1166, "Great Hwy and JFK (Ocean Beach)", 37.770474, -122.510950
1167, "Great Highway and Lincoln (O'Shaughnessy seawall planting beds)", 37.764650, -122.510670
1168, "Ocean Beach", 37.772707, -122.510420
1169, "Great Hwy and Lincoln (Ocean Beach)", 37.764033, -122.510370
1170, "Ocean View Dental", 37.774536, -122.509795
1171, "Fit Club", 37.774536, -122.509795
1172, "Judah and La Playa", 37.760260, -122.509560
1173, "Judah and La Playa", 37.76136744, -122.50938083
1174, "Great Highway and Noriega (O'Shaughnessy seawall planting beds)", 37.752810, -122.509090
1175, "Java Beach Cafe", 37.760451, -122.508931
1176, "Judah and La Playa", 37.760140, -122.508920
1177, "Sunset Co-op Nursery School", 37.756384, -122.508503
1178, "Beachside Cafe", 37.760569, -122.508258
1179, "Cajun Pacific Restaurant", 37.76239130, -122.50692014
1180, "Great Hwy and Sloat (Ocean Beach)", 37.735410, -122.506820
1181, "Great Hwy and Sloat (Ocean Beach)", 37.735410, -122.506820
1182, "3 Fish Studios", 37.762008, -122.506750
1183, "_undetermined", 37.736322, -122.505751
1184, "The Pizza Place", 37.752698, -122.505608
1185, "The Pizza Place", 37.752698, -122.505608
1186, "Thai Cottage", 37.760229, -122.505550
1187, "General Store and Two Birds Fly", 37.760198, -122.505461
1188, "Trouble Coffee Company", 37.760201, -122.505375
1189, "Trouble Coffee Company", 37.760201, -122.505375
1190, "Riptide Bar", 37.741572, -122.505326
1191, "Riptide Bar", 37.741572, -122.505326
1192, "Celia's By the Beach", 37.760244, -122.505205
1193, "Outerlands Cafe", 37.760252, -122.505019
1194, "Outerlands Cafe", 37.760252, -122.505019
1195, "Feel Real Coffee House", 37.760252, -122.505019
1196, "Wo's Restaurant", 37.760252, -122.505019
1197, "John's Ocean Beach Cafe", 37.735854, -122.504737
1198, "_undetermined", 37.752778, -122.504583
1199, "Sea Breeze Cafe", 37.760629, -122.504582
1200, "Other Avenues Food Co-op", 37.760742, -122.504339
1201, "_undetermined", 37.76024868, -122.50430374
1202, "Judahlicious", 37.760685, -122.504083
1203, "Judahlicious", 37.760685, -122.504083
1204, "Beach Burrito", 37.760685, -122.504083
1205, "Noriega CDC (PreK & SA) / Francis Scott Key (SA) Satellite CDC", 37.753834, -122.503654
1206, "Walgreens", 37.779429, -122.503565
1207, "San Francisco Zoo", 37.732909, -122.503240
1208, "San Francisco Zoo", 37.732909, -122.503240
1209, "Java Beach Cafe", 37.735689, -122.502910
1210, "Java Beach Cafe", 37.735689, -122.502910
1211, "Kaila's Corner Cup", 37.756666, -122.502228
1212, "Irma's Richmond Market", 37.775770, -122.501453
1213, "Vanida Thai Kitchen restaurant", 37.74227099, -122.49901644
1214, "The Nibs Bakery", 37.775402, -122.498737
1215, "Walgreens", 37.741789, -122.498710
1216, "South Sunset Playground", 37.737387, -122.498452
1217, "Bike Nook", 37.74225580, -122.49842544
1218, "M D Salon", 37.77546298, -122.49815170
1219, "Balboa Theatre", 37.775900, -122.497980
1220, "Hockey Haven", 37.775445, -122.497801
1221, "Urban Farmer Store, The", 37.738095, -122.497688
1222, "_undetermined", 37.753546, -122.497577
1223, "A.P. Giannini MS", 37.74968004, -122.49731133
1224, "Marriot", 37.778530, -122.497195
1225, "The Sweet House", 37.77599855, -122.49654984
1226, "Cassava Bakery", 37.775606, -122.496526
1227, "Simple Pleasures Cafe", 37.776028, -122.495814
1228, "Elevation", 37.775652, -122.495430
1229, "Toby's Sunset Soccer Supply", 37.762551, -122.494431
1230, "Mixed Nuts", 37.775643, -122.493464
